"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","absolute_url","cluster","year_filed","scdb_id","scdb_decision_direction","scdb_votes_majority","scdb_votes_minority"
"justice roberts","majority",FALSE,"McCutcheon v. Federal Election Comm'n",2014-04-02,"134 S. Ct. 1434","https://www.courtlistener.com/opinion/2659301/mccutcheon-v-federal-election-commn/","https://www.courtlistener.com/api/rest/v3/clusters/2659301/",2014,"2013-033",1,5,4
"justice thomas","concurring",FALSE,"McCutcheon v. Federal Election Comm'n",2014-04-02,"134 S. Ct. 1434","https://www.courtlistener.com/opinion/2659301/mccutcheon-v-federal-election-commn/","https://www.courtlistener.com/api/rest/v3/clusters/2659301/",2014,"2013-033",1,5,4
"justice breyer","dissenting",FALSE,"McCutcheon v. Federal Election Comm'n",2014-04-02,"134 S. Ct. 1434","https://www.courtlistener.com/opinion/2659301/mccutcheon-v-federal-election-commn/","https://www.courtlistener.com/api/rest/v3/clusters/2659301/",2014,"2013-033",1,5,4
"justice kagan","majority",FALSE,"Kaley v. United States",2014-02-25,NA,"https://www.courtlistener.com/opinion/2654533/kaley-v-united-states/","https://www.courtlistener.com/api/rest/v3/clusters/2654533/",2014,NA,NA,NA,NA
"justice roberts","dissenting",FALSE,"Kaley v. United States",2014-02-25,NA,"https://www.courtlistener.com/opinion/2654533/kaley-v-united-states/","https://www.courtlistener.com/api/rest/v3/clusters/2654533/",2014,NA,NA,NA,NA
"justice white","majority",FALSE,"Steelworkers v. Rawson",1990-05-14,"495 U.S. 362","https://www.courtlistener.com/opinion/112426/steelworkers-v-rawson/","https://www.courtlistener.com/api/rest/v3/clusters/112426/",1990,"1989-077",2,6,3
"justice kennedy","dissenting",FALSE,"Steelworkers v. Rawson",1990-05-14,"495 U.S. 362","https://www.courtlistener.com/opinion/112426/steelworkers-v-rawson/","https://www.courtlistener.com/api/rest/v3/clusters/112426/",1990,"1989-077",2,6,3
"justice scalia","majority",FALSE,"Oncale v. Sundowner Offshore Services, Inc.",1998-03-04,"523 U.S. 75","https://www.courtlistener.com/opinion/118181/oncale-v-sundowner-offshore-services-inc/","https://www.courtlistener.com/api/rest/v3/clusters/118181/",1998,"1997-037",2,9,0
"justice thomas","concurring",FALSE,"Oncale v. Sundowner Offshore Services, Inc.",1998-03-04,"523 U.S. 75","https://www.courtlistener.com/opinion/118181/oncale-v-sundowner-offshore-services-inc/","https://www.courtlistener.com/api/rest/v3/clusters/118181/",1998,"1997-037",2,9,0
"justice scalia","majority",FALSE,"Summers v. Earth Island Institute",2009-03-03,"555 U.S. 488","https://www.courtlistener.com/opinion/145904/summers-v-earth-island-institute/","https://www.courtlistener.com/api/rest/v3/clusters/145904/",2009,"2008-027",1,5,4
"justice kennedy","concurring",FALSE,"Summers v. Earth Island Institute",2009-03-03,"555 U.S. 488","https://www.courtlistener.com/opinion/145904/summers-v-earth-island-institute/","https://www.courtlistener.com/api/rest/v3/clusters/145904/",2009,"2008-027",1,5,4
"justice breyer","dissenting",FALSE,"Summers v. Earth Island Institute",2009-03-03,"555 U.S. 488","https://www.courtlistener.com/opinion/145904/summers-v-earth-island-institute/","https://www.courtlistener.com/api/rest/v3/clusters/145904/",2009,"2008-027",1,5,4
"justice scalia","majority",FALSE,"Budinich v. Becton Dickinson & Co.",1988-05-23,"486 U.S. 196","https://www.courtlistener.com/opinion/112076/budinich-v-becton-dickinson-co/","https://www.courtlistener.com/api/rest/v3/clusters/112076/",1988,"1987-088",2,9,0
"justice white","majority",FALSE,"Lefkowitz v. Turley",1973-11-19,"414 U.S. 70","https://www.courtlistener.com/opinion/108882/lefkowitz-v-turley/","https://www.courtlistener.com/api/rest/v3/clusters/108882/",1973,"1973-013",2,9,0
"justice douglas","majority",FALSE,"Ford Motor Co. v. United States",1972-03-29,"405 U.S. 562","https://www.courtlistener.com/opinion/108494/ford-motor-co-v-united-states/","https://www.courtlistener.com/api/rest/v3/clusters/108494/",1972,"1971-084",2,5,2
"justice scalia","majority",FALSE,"Reiter v. Cooper",1993-03-08,"507 U.S. 258","https://www.courtlistener.com/opinion/112830/reiter-v-cooper/","https://www.courtlistener.com/api/rest/v3/clusters/112830/",1993,"1992-041",2,8,1
"justice ginsburg","majority",FALSE,"Microsoft Corp. v. Baker",2017-06-12,"198 L. Ed. 2d 132","https://www.courtlistener.com/opinion/4403813/microsoft-corp-v-baker/","https://www.courtlistener.com/api/rest/v3/clusters/4403813/",2017,"2016-053",1,8,0
"justice thomas","concurring",FALSE,"Microsoft Corp. v. Baker",2017-06-12,"198 L. Ed. 2d 132","https://www.courtlistener.com/opinion/4403813/microsoft-corp-v-baker/","https://www.courtlistener.com/api/rest/v3/clusters/4403813/",2017,"2016-053",1,8,0
"justice blackmun","majority",FALSE,"Automobile Workers v. Johnson Controls, Inc.",1991-03-20,"499 U.S. 187","https://www.courtlistener.com/opinion/112563/automobile-workers-v-johnson-controls-inc/","https://www.courtlistener.com/api/rest/v3/clusters/112563/",1991,"1990-048",2,9,0
